team,year,attendance
IFK Göteborg,2013,17595
IFK Göteborg,2014,9904
IFK Göteborg,2015,24061
IFK Göteborg,2016,13894
IFK Göteborg,2017,11984
IFK Göteborg,2018,10433
IFK Göteborg,2019,12811
IFK Göteborg,2020,0
IFK Göteborg,2021,4566
IFK Göteborg,2022,16619
IFK Göteborg,2023,17978
AIK,2013,21053
AIK,2014,19627
AIK,2015,27164
AIK,2016,23185
AIK,2017,22297
AIK,2018,27462
AIK,2019,23168
AIK,2020,0
AIK,2021,9044
AIK,2022,26159
AIK,2023,27896
Djurgården,2013,15325
Djurgården,2014,16095
Djurgården,2015,19808
Djurgården,2016,19592
Djurgården,2017,25910
Djurgården,2018,17736
Djurgården,2019,24909
Djurgården,2020,0
Djurgården,2021,11164
Djurgården,2022,24128
Djurgården,2023,25988
Hammarby,2013,0
Hammarby,2014,0
Hammarby,2015,23842
Hammarby,2016,22043
Hammarby,2017,23590
Hammarby,2018,26322
Hammarby,2019,23864
Hammarby,2020,0
Hammarby,2021,7607
Hammarby,2022,27885
Hammarby,2023,26075
Malmö FF,2013,13579
Malmö FF,2014,12520
Malmö FF,2015,10785
Malmö FF,2016,18376
Malmö FF,2017,14698
Malmö FF,2018,9939
Malmö FF,2019,17182
Malmö FF,2020,0
Malmö FF,2021,7133
Malmö FF,2022,13609
Malmö FF,2023,21836
