team,opponent,IFK Göteborg,AIK,Djurgården,Hammarby,Malmö FF
IFK Göteborg,Kalmar,861,1530,876,981,1724
IFK Göteborg,Djurgården,1201,4237,,4408,1928
IFK Göteborg,BP,873,2321,1966,1009,1186
IFK Göteborg,AIK,710,,5045,3551,1695
IFK Göteborg,BK Häcken,897,1235,385,1756,1564
IFK Göteborg,Sirius,869,2378,2056,2380,867
IFK Göteborg,Halmstads BK,2002,2040,916,1698,2000
IFK Göteborg,Elfsborg,2259,659,1587,779,1739
IFK Göteborg,Norrköping,956,2676,2593,2738,1826
IFK Göteborg,Degerfors IF,1500,1506,973,1148,891
IFK Göteborg,Malmö FF,1809,1439,1047,1966,
IFK Göteborg,Mjällby,600,250,600,502,600
IFK Göteborg,Hammarby,1496,4464,4332,,2171
IFK Göteborg,Värnamo,952,485,1159,1042,1148
IFK Göteborg,Varberg,993,1000,382,475,850
